letter;weight_I;relative_weight_I;weight_II;relative_weight_II;weight_III;relative_weight_III;weight_IV;relative_weight_IV;total_weight;relative_total_weight;center_y;center_x;relative_center_y;relative_center_x;inertia_y;inertia_x;relative_inertia_y;relative_inertia_x;profile_x;profile_y
ג;39.043137254901964;0.062469019607843145;27.55686274509804;0.044090980392156864;39.34901960784314;0.06295843137254903;46.58039215686274;0.07452862745098039;152.5294117647059;0.06101176470588236;27.062938681064402;24.264327034323177;0.541258773621288;0.48528654068646354;2249.8096225887193;13696.470298465703;0.0003599695396141951;0.0021914352477545125;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.050980392156862744;2.933333333333333;6.0549019607843135;10.56078431372549;12.447058823529412;11.949019607843137;11.858823529411765;11.941176470588236;10.596078431372549;9.827450980392157;13.188235294117646;17.650980392156864;9.890196078431373;7.572549019607843;8.129411764705882;6.698039215686275;1.1803921568627451;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.223529411764706;3.0941176470588236;7.733333333333333;9.207843137254901;9.64313725490196;9.541176470588235;8.933333333333334;7.211764705882353;3.388235294117647;2.152941176470588;1.6980392156862745;1.4549019607843137;1.3176470588235294;1.2941176470588236;1.4470588235294117;1.7529411764705882;2.180392156862745;2.780392156862745;3.4941176470588236;4.356862745098039;4.6;4.996078431372549;5.87843137254902;8.086274509803921;10.498039215686275;10.031372549019608;9.376470588235295;8.631372549019607;6.525490196078431;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ד;56.65882352941176;0.09065411764705882;61.63529411764706;0.09861647058823529;0.0;0.0;52.4078431372549;0.08385254901960784;170.7019607843137;0.06828078431372549;21.74012727147419;25.758161225849435;0.4348025454294838;0.5151632245169887;3754.271228331439;11171.695371352613;0.0006006833965330302;0.001787471259416418;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6784313725490196;5.607843137254902;7.509803921568627;6.709803921568628;6.141176470588236;6.011764705882353;6.0;6.0;6.0;6.0;6.0;6.23921568627451;18.905882352941177;23.71764705882353;24.58823529411765;16.101960784313725;7.556862745098039;6.333333333333333;4.513725490196078;0.08627450980392157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.188235294117647;2.596078431372549;17.015686274509804;18.070588235294117;18.309803921568626;18.188235294117646;17.666666666666668;15.980392156862745;1.603921568627451;1.6745098039215687;1.8;1.988235294117647;2.211764705882353;2.458823529411765;2.6901960784313728;2.9215686274509802;3.1019607843137256;3.235294117647059;3.3372549019607844;3.403921568627451;3.450980392156863;3.4784313725490197;3.4980392156862745;3.5019607843137255;3.4941176470588236;3.396078431372549;3.2588235294117647;3.007843137254902;2.6392156862745098;1.5333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ה;67.05098039215686;0.10728156862745097;61.423529411764704;0.09827764705882353;41.86666666666667;0.06698666666666667;49.956862745098036;0.07993098039215686;220.2980392156863;0.08811921568627451;23.898515380233547;24.05707063514668;0.47797030760467096;0.4811414127029336;9624.419731543998;18190.621318363574;0.0015399071570470397;0.002910499410938172;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.7215686274509805;18.231372549019607;19.058823529411764;17.909803921568628;10.592156862745098;6.403921568627451;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.2745098039215685;22.55294117647059;25.419607843137253;22.352941176470587;8.972549019607843;0.807843137254902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2117647058823529;2.5764705882352943;18.819607843137256;19.976470588235294;20.215686274509803;20.133333333333333;19.698039215686276;18.223529411764705;1.0941176470588236;1.2941176470588236;1.5058823529411764;1.7372549019607844;1.988235294117647;2.176470588235294;2.403921568627451;2.592156862745098;2.76078431372549;5.462745098039216;6.325490196078431;6.447058823529412;6.6196078431372545;6.772549019607843;6.882352941176471;6.949019607843137;6.968627450980392;6.91764705882353;6.733333333333333;6.3803921568627455;5.749019607843137;3.6823529411764704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ו;38.13333333333333;0.06101333333333333;29.92549019607843;0.04788078431372549;0.0;0.0;35.050980392156866;0.056081568627450985;103.10980392156864;0.041243921568627454;22.414825238656675;24.720800212984447;0.4482965047731335;0.49441600425968896;812.4682131902698;6308.464710282242;0.00012999491411044316;0.0010093543536451588;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6549019607843137;5.3803921568627455;7.176470588235294;6.43921568627451;6.117647058823529;6.109803921568627;6.254901960784314;6.733333333333333;21.63137254901961;24.92156862745098;11.690196078431372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2352941176470589;2.6588235294117646;6.584313725490196;8.72156862745098;9.301960784313726;9.333333333333334;8.843137254901961;7.396078431372549;4.1686274509803924;2.780392156862745;2.4274509803921567;2.3215686274509806;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2862745098039214;2.2823529411764705;2.219607843137255;1.9529411764705882;1.1607843137254903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ז;43.55294117647059;0.06968470588235294;26.662745098039217;0.04266039215686275;39.33725490196078;0.06293960784313725;11.2;0.01792;120.7529411764706;0.04830117647058824;23.669751883606132;23.72580540400104;0.47339503767212265;0.4745161080800208;632.8077451999245;9015.791007468199;0.00010124923923198792;0.0014425265611949117;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.36078431372549;7.0549019607843135;6.627450980392157;12.87843137254902;25.662745098039217;26.305882352941175;16.08235294117647;7.011764705882353;5.466666666666667;5.043137254901961;4.015686274509804;0.24313725490196078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1568627450980393;2.364705882352941;7.862745098039215;10.380392156862746;10.925490196078432;10.945098039215686;10.372549019607844;8.105882352941176;1.2470588235294118;1.415686274509804;1.6274509803921569;1.796078431372549;2.015686274509804;2.243137254901961;2.466666666666667;2.6784313725490194;2.9019607843137254;3.1019607843137256;3.2509803921568627;3.364705882352941;3.4352941176470586;3.4745098039215687;3.4784313725490197;3.454901960784314;3.388235294117647;3.2627450980392156;3.074509803921569;2.8588235294117648;2.5254901960784313;1.576470588235294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ח;74.14117647058823;0.11862588235294118;62.372549019607845;0.09979607843137256;49.42745098039216;0.07908392156862745;48.75686274509804;0.07801098039215687;234.69803921568626;0.09387921568627451;23.756817270418395;23.666254511428953;0.4751363454083679;0.47332509022857905;10524.79124553444;17679.304778641843;0.0016839665992855104;0.0028286887645826947;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.443137254901961;21.24705882352941;25.949019607843137;24.192156862745097;12.074509803921568;6.650980392156863;6.011764705882353;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.074509803921568;19.176470588235293;25.098039215686274;23.768627450980393;11.372549019607844;1.6392156862745098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2156862745098038;2.615686274509804;18.87450980392157;19.945098039215686;20.20392156862745;20.137254901960784;19.686274509803923;18.184313725490195;2.4941176470588236;2.7490196078431373;3.0509803921568626;3.462745098039216;3.8941176470588235;4.298039215686274;4.7215686274509805;5.113725490196078;5.458823529411765;5.784313725490196;6.050980392156863;6.266666666666667;6.450980392156863;6.603921568627451;6.705882352941177;6.764705882352941;6.733333333333333;6.592156862745098;6.309803921568627;5.898039215686275;5.207843137254902;3.223529411764706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ט;57.8;0.09247999999999999;55.654901960784315;0.0890478431372549;62.258823529411764;0.09961411764705883;52.372549019607845;0.08379607843137256;228.08627450980393;0.09123450980392157;26.483477184415943;23.62958632784292;0.5296695436883189;0.4725917265568584;8568.5404229296;20312.951457153817;0.001370966467668736;0.0032500722331446105;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7450980392156863;6.133333333333334;8.513725490196078;18.4;21.819607843137256;15.007843137254902;11.75686274509804;9.662745098039215;5.411764705882353;5.403921568627451;8.16078431372549;9.04313725490196;9.674509803921568;10.2;10.623529411764705;10.882352941176471;11.101960784313725;11.701960784313725;12.905882352941177;16.658823529411766;13.301960784313726;0.9764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0509803921568628;2.3568627450980393;9.27843137254902;13.109803921568627;14.886274509803922;15.882352941176471;16.24313725490196;15.188235294117646;7.87843137254902;5.6;4.647058823529412;4.141176470588236;3.1921568627450982;3.223529411764706;3.3137254901960786;3.3568627450980393;3.458823529411765;3.549019607843137;3.627450980392157;3.803921568627451;4.035294117647059;4.231372549019608;4.564705882352941;4.933333333333334;15.419607843137255;14.952941176470588;14.47843137254902;14.03921568627451;13.64313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
י;32.0;0.0512;34.94509803921569;0.055912156862745095;0.0;0.0;6.427450980392157;0.010283921568627452;73.37254901960783;0.029349019607843134;17.990432923570285;24.739551042223408;0.3598086584714057;0.49479102084446813;581.9836557990379;977.2207352679179;9.311738492784606e-05;0.00015635531764286687;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6980392156862745;5.729411764705882;7.180392156862745;6.305882352941176;6.047058823529412;6.03921568627451;7.078431372549019;8.333333333333334;10.886274509803922;10.905882352941177;4.1686274509803924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0745098039215686;2.3333333333333335;7.247058823529412;8.972549019607843;9.52156862745098;9.607843137254902;9.215686274509803;7.847058823529411;3.5843137254901962;2.231372549019608;1.8666666666666667;1.7607843137254902;1.6823529411764706;1.6823529411764706;1.7411764705882353;1.8509803921568628;1.1529411764705881;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
כ;60.59607843137255;0.09695372549019607;46.752941176470586;0.07480470588235294;50.431372549019606;0.08069019607843136;50.984313725490196;0.08157490196078432;208.76470588235293;0.08350588235294117;26.30551329012868;23.852427913966377;0.5261102658025736;0.4770485582793275;5959.539896831842;20599.612281762144;0.0009535263834930948;0.003295937965081943;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0470588235294118;8.36078431372549;12.145098039215686;12.266666666666667;11.294117647058824;11.04313725490196;11.0;11.0;11.0;10.964705882352941;10.905882352941177;10.75686274509804;10.619607843137254;10.541176470588235;10.631372549019607;11.019607843137255;12.827450980392157;18.392156862745097;12.611764705882353;0.33725490196078434;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.184313725490196;2.5843137254901962;12.184313725490195;14.305882352941177;15.35686274509804;15.952941176470588;16.070588235294117;15.313725490196079;4.3803921568627455;3.066666666666667;2.5254901960784313;2.2862745098039214;2.1372549019607843;2.0392156862745097;1.988235294117647;1.9764705882352942;1.9372549019607843;1.9568627450980391;1.992156862745098;2.1019607843137256;2.2980392156862743;2.631372549019608;3.203921568627451;4.623529411764705;16.435294117647057;16.11764705882353;15.537254901960784;14.486274509803922;12.090196078431372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ך;62.83529411764706;0.1005364705882353;70.60392156862746;0.11296627450980393;0.0;0.0;53.286274509803924;0.08525803921568628;186.72549019607843;0.07469019607843137;19.629990549196684;26.427953376036964;0.3925998109839337;0.5285590675207392;5771.665074731352;21024.530092140183;0.0009234664119570164;0.0033639248147424292;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6745098039215687;5.623529411764705;7.568627450980392;6.764705882352941;6.184313725490196;6.019607843137255;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;31.788235294117648;35.411764705882355;23.0;3.6901960784313728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1725490196078432;2.627450980392157;17.63137254901961;18.87450980392157;19.184313725490195;19.109803921568627;18.59607843137255;16.807843137254903;2.2745098039215685;2.074509803921569;2.0470588235294116;2.0823529411764707;2.1176470588235294;2.156862745098039;2.1921568627450982;2.227450980392157;2.2627450980392156;2.3019607843137253;2.3372549019607844;2.372549019607843;2.407843137254902;2.443137254901961;2.4823529411764707;2.5176470588235293;2.552941176470588;2.588235294117647;2.627450980392157;2.6627450980392156;2.6980392156862747;2.7333333333333334;2.772549019607843;2.8078431372549018;2.843137254901961;2.8705882352941177;2.8666666666666667;2.7529411764705882;2.364705882352941;1.2823529411764707;0.0;0.0;0.0;0.0"
